appId,clientId,clientSecretKey,password,userName
regproc,mosip-regproc-client,abc123,mosip,10001
regproc,mosip-regproc-client,abc123,mosip,10002
regproc,mosip-regproc-client,abc123,mosip,10003
regproc,mosip-regproc-client,abc123,mosip,10004
regproc,mosip-regproc-client,abc123,mosip,10007
regproc,mosip-regproc-client,abc123,mosip,10008
regproc,mosip-regproc-client,abc123,mosip,10009
ida,mosip-ida-client,abc123,mosip,10001
ida,mosip-ida-client,abc123,mosip,10002
ida,mosip-ida-client,abc123,mosip,10003
ida,mosip-ida-client,abc123,mosip,10004
ida,mosip-ida-client,abc123,mosip,10007
ida,mosip-ida-client,abc123,mosip,10008
ida,mosip-ida-client,abc123,mosip,10009
partner,mosip-partner-client,abc123,mosip,10001
partner,mosip-partner-client,abc123,mosip,10002
partner,mosip-partner-client,abc123,mosip,10003
partner,mosip-partner-client,abc123,mosip,10004
partner,mosip-partner-client,abc123,mosip,10007
partner,mosip-partner-client,abc123,mosip,10008
partner,mosip-partner-client,abc123,mosip,10009
resident,mosip-resident-client,abc123,mosip,10001
resident,mosip-resident-client,abc123,mosip,10002
resident,mosip-resident-client,abc123,mosip,10003
resident,mosip-resident-client,abc123,mosip,10004
resident,mosip-resident-client,abc123,mosip,10007
resident,mosip-resident-client,abc123,mosip,10008
resident,mosip-resident-client,abc123,mosip,10009
datsha,mosip-datsha-client,abc123,mosip,10001
datsha,mosip-datsha-client,abc123,mosip,10002
datsha,mosip-datsha-client,abc123,mosip,10003
datsha,mosip-datsha-client,abc123,mosip,10004
datsha,mosip-datsha-client,abc123,mosip,10007
datsha,mosip-datsha-client,abc123,mosip,10008
datsha,mosip-datsha-client,abc123,mosip,10009
crereq,mosip-crereq-client,abc123,mosip,10001
crereq,mosip-crereq-client,abc123,mosip,10002
crereq,mosip-crereq-client,abc123,mosip,10003
crereq,mosip-crereq-client,abc123,mosip,10004
creser,mosip-creser-client,abc123,mosip,10001
creser,mosip-creser-client,abc123,mosip,10002
creser,mosip-creser-client,abc123,mosip,10003
creser,mosip-creser-client,abc123,mosip,10004
